20
30
20
30
3
4
(Type= 0 ,Gender= 3 ,X= 0 ,Y= 0 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 2 ,Y= 0 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 2 ,Y= 1 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 2 ,Y= 2 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 2 ,Y= 3 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 2 ,Y= 4 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 0 ,X= 2 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 2 ,Y= 6 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 2 ,Y= 7 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 2 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 2 ,Y= 9 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 2 ,Y= 10 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 2 ,Y= 11 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 2 ,Y= 12 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 2 ,Y= 13 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 2 ,Y= 14 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 1 ,X= 2 ,Y= 15 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 2 ,Y= 16 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 1 ,X= 2 ,Y= 17 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 1 ,X= 2 ,Y= 18 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 2 ,Y= 19 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 3 ,Y= 0 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 3 ,Y= 1 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 3 ,Y= 2 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 3 ,Y= 3 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 3 ,Y= 4 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 3 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 3 ,Y= 6 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 3 ,Y= 7 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 3 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 3 ,Y= 9 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 3 ,Y= 10 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 3 ,Y= 11 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 1 ,X= 3 ,Y= 12 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 3 ,Y= 13 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 3 ,Y= 14 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 3 ,Y= 15 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 3 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 3 ,Y= 17 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 3 ,Y= 18 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 3 ,Y= 19 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 4 ,Y= 0 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 1 ,X= 4 ,Y= 1 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 4 ,Y= 2 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 4 ,Y= 3 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 4 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 4 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 1 ,X= 4 ,Y= 6 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 4 ,Y= 7 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 4 ,Y= 8 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 4 ,Y= 9 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 4 ,Y= 10 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 4 ,Y= 11 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 4 ,Y= 12 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 4 ,Y= 13 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 4 ,Y= 14 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 4 ,Y= 15 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 4 ,Y= 16 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 4 ,Y= 17 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 4 ,Y= 18 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 1 ,X= 4 ,Y= 19 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 5 ,Y= 0 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 5 ,Y= 1 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 5 ,Y= 2 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 1 ,X= 5 ,Y= 3 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 5 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 5 ,Y= 5 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 5 ,Y= 6 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 5 ,Y= 7 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 5 ,Y= 8 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 5 ,Y= 9 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 5 ,Y= 10 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 5 ,Y= 11 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 5 ,Y= 12 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 0 ,X= 5 ,Y= 13 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 5 ,Y= 14 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 5 ,Y= 15 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 5 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 5 ,Y= 17 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 5 ,Y= 18 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 5 ,Y= 19 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 6 ,Y= 0 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 6 ,Y= 1 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 6 ,Y= 2 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 6 ,Y= 3 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 6 ,Y= 4 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 6 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 6 ,Y= 6 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 6 ,Y= 7 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 6 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 6 ,Y= 9 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 6 ,Y= 10 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 0 ,X= 6 ,Y= 11 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 6 ,Y= 12 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 6 ,Y= 13 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 6 ,Y= 14 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 6 ,Y= 15 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 6 ,Y= 16 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 6 ,Y= 17 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 1 ,X= 6 ,Y= 18 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 6 ,Y= 19 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 7 ,Y= 0 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 0 ,X= 7 ,Y= 1 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 7 ,Y= 2 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 7 ,Y= 3 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 1 ,X= 7 ,Y= 4 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 1 ,X= 7 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 7 ,Y= 6 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 7 ,Y= 7 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 7 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 7 ,Y= 9 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 7 ,Y= 10 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 7 ,Y= 11 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 7 ,Y= 12 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 7 ,Y= 13 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 7 ,Y= 14 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 7 ,Y= 15 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 7 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 7 ,Y= 17 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 7 ,Y= 18 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 7 ,Y= 19 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 8 ,Y= 0 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 8 ,Y= 1 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 1 ,X= 8 ,Y= 2 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 8 ,Y= 3 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 8 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 8 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 1 ,X= 8 ,Y= 6 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 8 ,Y= 7 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 8 ,Y= 8 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 0 ,X= 8 ,Y= 9 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 8 ,Y= 10 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 8 ,Y= 11 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 8 ,Y= 12 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 8 ,Y= 13 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 8 ,Y= 14 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 8 ,Y= 15 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 0 ,X= 8 ,Y= 16 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 8 ,Y= 17 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 8 ,Y= 18 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 8 ,Y= 19 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 9 ,Y= 0 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 9 ,Y= 1 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 9 ,Y= 2 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 9 ,Y= 3 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 9 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 9 ,Y= 5 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 9 ,Y= 6 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 9 ,Y= 7 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 9 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 9 ,Y= 9 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 9 ,Y= 10 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 1 ,X= 9 ,Y= 11 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 9 ,Y= 12 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 9 ,Y= 13 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 9 ,Y= 14 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 9 ,Y= 15 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 9 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 9 ,Y= 17 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 9 ,Y= 18 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 9 ,Y= 19 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 10 ,Y= 0 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 10 ,Y= 1 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 0 ,X= 10 ,Y= 2 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 10 ,Y= 3 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 10 ,Y= 4 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 10 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 1 ,X= 10 ,Y= 6 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 10 ,Y= 7 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 10 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 10 ,Y= 9 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 10 ,Y= 10 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 10 ,Y= 11 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 10 ,Y= 12 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 1 ,X= 10 ,Y= 13 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 10 ,Y= 14 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 10 ,Y= 15 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 10 ,Y= 16 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 10 ,Y= 17 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 10 ,Y= 18 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 10 ,Y= 19 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 11 ,Y= 0 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 11 ,Y= 1 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 11 ,Y= 2 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 1 ,X= 11 ,Y= 3 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 1 ,X= 11 ,Y= 4 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 0 ,X= 11 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 0 ,X= 11 ,Y= 6 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 1 ,X= 11 ,Y= 7 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 11 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 11 ,Y= 9 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 11 ,Y= 10 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 11 ,Y= 11 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 11 ,Y= 12 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 11 ,Y= 13 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 11 ,Y= 14 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 1 ,X= 11 ,Y= 15 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 11 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 11 ,Y= 17 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 11 ,Y= 18 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 11 ,Y= 19 ,Age= 0 ,Health= 20 )
(Type= 3 ,Gender= 0 ,X= 12 ,Y= 0 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 1 ,X= 12 ,Y= 1 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 1 ,X= 12 ,Y= 2 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 12 ,Y= 3 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 12 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 0 ,X= 12 ,Y= 5 ,Age= 0 ,Health= 20 )
(Type= 2 ,Gender= 1 ,X= 12 ,Y= 6 ,Age= 0 ,Health= 20 )
(Type= 0 ,Gender= 3 ,X= 12 ,Y= 7 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 12 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 12 ,Y= 9 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 12 ,Y= 10 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 12 ,Y= 11 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 12 ,Y= 12 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 12 ,Y= 13 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 12 ,Y= 14 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 12 ,Y= 15 ,Age= 0 ,Health= -1 )
(Type= 2 ,Gender= 1 ,X= 12 ,Y= 16 ,Age= 0 ,Health= 20 )
(Type= 1 ,Gender= 3 ,X= 12 ,Y= 17 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 12 ,Y= 18 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 12 ,Y= 19 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 13 ,Y= 0 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 13 ,Y= 1 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 13 ,Y= 2 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 13 ,Y= 3 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 13 ,Y= 4 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 13 ,Y= 5 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 13 ,Y= 6 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 13 ,Y= 7 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 13 ,Y= 8 ,Age= 0 ,Health= -1 )
(Type= 1 ,Gender= 3 ,X= 13 ,Y= 9 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 13 ,Y= 10 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 13 ,Y= 11 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 13 ,Y= 12 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 1 ,X= 13 ,Y= 13 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 13 ,Y= 14 ,Age= 0 ,Health= 30 )
(Type= 1 ,Gender= 3 ,X= 13 ,Y= 15 ,Age= 0 ,Health= -1 )
(Type= 0 ,Gender= 3 ,X= 13 ,Y= 16 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 1 ,X= 13 ,Y= 17 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 1 ,X= 13 ,Y= 18 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 1 ,X= 13 ,Y= 19 ,Age= 0 ,Health= 30 )
(Type= 0 ,Gender= 3 ,X= 14 ,Y= 0 ,Age= 0 ,Health= -1 )
(Type= 3 ,Gender= 0 ,X= 14 ,Y= 1 ,Age= 0 ,Health= 30 )
(Type= 3 ,Gender= 0 ,X= 14 ,Y= 2 ,Age= 0 ,Health= 30 )
(Type= 2 ,Gender= 0 ,X= 14 ,Y= 3 ,Age= 0 ,Health= 20 )
